id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,first-appearance,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,url
460,Mister Sinister,100.0,48.0,46.0,90.0,100.0,50.0,Nathaniel Essex,No alter egos found.,"['Sinister', 'Robert Windsor', 'Arnold Bocklin', 'Mike Milbury', 'Apocalypse', 'Steven Shaffran', 'Edmond Atkinson', 'Nate', 'Administrator Pearson', 'Nosferatu', 'Nathan Milbury', 'Pale Man']","London, England","Uncanny X-Men #221 (September, 1987)",Marvel Comics,bad,Male,Human / Altered,"[""6'5"", '196 cm']","['285 lb', '128 kg']",Red,Black,"Geneticist, Criminal, biologist and mutant-supremacist",Many bases throughout the world including his State Home for Foundlings and the Center for Homo Superior Medical Care.,"Marauders (founder), Nasty Boys (founder); formerly Weapon X, Third Reich","Rebecca Essex (wife, deceased), Adam Stanislaus Essex (son, deceased), N2 (creation, deceased), Madelyne Pryor (creation, deceased), Claudine Renko (clone ""daughter"")",https://www.superherodb.com/pictures2/portraits/10/100/856.jpg
461,Mister Zsasz,88.0,22.0,33.0,28.0,18.0,85.0,Victor Zsasz,No alter egos found.,['Mr Zsasz'],-,-,DC Comics,bad,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",Blue,Blond,Serial Killer,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1486.jpg
462,Mockingbird,75.0,31.0,38.0,20.0,48.0,95.0,Barbara Morse,No alter egos found.,"['Barbara Morse-Barton', 'Roberta Morse', 'Agent 19', 'Huntress', 'Bobbi Van Dyne; once posed as Shooting Star']","San Diego, California","Astonishing Tales #6 (June, 1971)",Marvel Comics,good,Female,Human,"[""5'9"", '175 cm']","['135 lb', '61 kg']",Blue,Blond,"Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist","New York City, New York","World Counterterrorism Agency; formerly Secret Avengers, New Avengers, West Coast Avengers, Avengers, Great Lakes Avengers, S.H.I.E.L.D.; partner of Hawkeye; associate of Dr. Wilma Calvin",Susan Morse (mother); Ben Morse (brother); Hawkeye (Clint Barton) (ex-husband),https://www.superherodb.com/pictures2/portraits/10/100/1328.jpg
463,MODOK,100.0,18.0,25.0,25.0,79.0,15.0,George Tarleton,No alter egos found.,"['M.O.D.O.K.', 'Mental Organism Designed Only for Killing']",-,Tales of Suspense #93,Marvel Comics,bad,Male,Cyborg,"[""12'0"", '366 cm']","['750 lb', '338 kg']",White,Brownn,"Would-be conqueror, AIM leader, terrorist; former AIM agent, technician",-,-,"M.O.D.O.K. Superior (clone), Head Case (son), Number None (son)",https://www.superherodb.com/pictures2/portraits/10/100/10438.jpg
464,Mogo,,,,,,,Mogo,No alter egos found.,['-'],-,"Green Lantern Vol 2 #188 (May, 1985)",DC Comics,good,Male,Planet,"['-', '0 cm']","['- lb', '0 kg']",-,-,Green Lantern,Sector 2261,Green Lantern Corps,-,https://www.superherodb.com/pictures2/portraits/10/100/1432.jpg
465,Mohinder Suresh,,,,,,,Mohinder Suresh,No alter egos found.,['-'],India,Heroes S01E01 - Genesis,NBC - Heroes,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,"Former agent of Pinehearst Company, former Company medical professional & agent, former taxi driver, former genetics professor","Apartment in Brooklyn, NY",-,"formerly Maya Herrera, formerly Mira Shenoy, Chandra Suresh (deceased), Unnamed mother, Shanti Suresh",https://www.superherodb.com/pictures2/portraits/10/100/1313.jpg
466,Moloch,,,,,,,Edgar William Jacobi,No alter egos found.,"['William Edgar Bright', 'Moloch the Mystic']",-,-,DC Comics,bad,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1061.jpg
467,Molten Man,50.0,73.0,23.0,84.0,53.0,56.0,Mark Raxton,No alter egos found.,['-'],-,Amazing Spider-Man #28 (1965),Marvel Comics,bad,Male,,"[""6'5"", '196 cm']","['550 lb', '248 kg']",Gold,Gold,"Security guard for Osborn industries, former criminal, lab assistant",-,Exterminators,"Doris Raxton (mother), Liz Allan Osborn (step-sister), Harry Osborn (Green Goblin II , step-brother-in-law, deceased), Norman Osborn Jr. (Green Goblin I, step-nephew)",https://www.superherodb.com/pictures2/portraits/10/100/411.jpg
468,Monarch,,100.0,,,,,Nathaniel Christopher Adam,No alter egos found.,"['Monarch', 'Allen Adam', 'Cameron Scott', 'Captain Atom']",-,"Captain Atom #1 (D.C., March, 1987)",DC Comics,good,Male,,"[""6'4"", '193 cm']","['200 lb', '90 kg']",Blue,White,"Adventurer, former U.S. Special Agent, former U.S. Air Force Captain",-,"formally Justice League, Extreme Justice, Super Buddies, L.A.W., United States Air Force","Angela Adams (wife, deceased), Margaret Eiling (daughter), Randall Eiling (son)",https://www.superherodb.com/pictures2/portraits/10/100/1006.jpg
469,Monica Dawson,50.0,10.0,35.0,14.0,48.0,90.0,Monica Dawson,No alter egos found.,['-'],-,Heroes S02E04 - The Kindness of Strangers,NBC - Heroes,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,-,Fast food service,"New Orleans, LA",-,"Nana Dawson (Grandmother), Damon (brother), DL Hawkins (cousin), Niki Sanders (cousin-in-law once removed), Micah Sanders (second cousin)",https://www.superherodb.com/pictures2/portraits/10/100/942.jpg
470,Moon Knight,50.0,36.0,23.0,42.0,28.0,75.0,Marc Spector,No alter egos found.,"['Jake Lockley', 'Steven Grant', 'Yitzak Topol', 'Fist of Khonshu', 'Crescent Crusader', 'Lunar Legionnaire']","Chicago, Illinois","Werewolf by Night #32 (August, 1975)",Marvel Comics,good,Male,Human,"[""6'2"", '188 cm']","['225 lb', '101 kg']",Brown,Brown,"Adventurer, entrepreneur; former prize fighter, spy, soldier, mercenary, cab driver","New York City; formerly Spector Mansion, Long Island, Avengers Compound, California","Secret Avengers; formerly: US Marine Corps, Central Intelligence Agency (CIA), partner of Jean-Paul du Champ, partner of Raoul Bushman, partner of Midnight, West Coast Avengers, Marvel Knights, Defenders","Shadowknight (Randall Spector) (brother, deceased), Elias (father, deceased), Seth Phalkon (alleged great-great-grandfather)",https://www.superherodb.com/pictures2/portraits/10/100/415.jpg
471,Moonstone,56.0,67.0,47.0,52.0,74.0,80.0,Karla Sofen,No alter egos found.,"['Meteorite', ' Kate Sorenson']","Van Nuys, California","Captain America Vol. 1 #192 (December, 1975)",Marvel Comics,bad,Female,,"[""5'11"", '180 cm']","['130 lb', '59 kg']",Blue,Blond,"former Adventurer, Psychiatrist",formerly Mount Charteris; Four Freedoms Plaza,"Dark Avengers, Formerly; Thunderbolts, Femizons, Masters of Evil, Doctor Faustus, the Corporation, former partner of Blackout (Marcus Daniels)","Karl August Sofen (father), Marion Sofen (mother), unnamed maternal grandparents (only mentioned )",https://www.superherodb.com/pictures2/portraits/10/100/100.jpg
472,Morlun,63.0,60.0,35.0,42.0,74.0,56.0,Morlun,No alter egos found.,['-'],-,Amazing Spider-Man #30 (2001),Marvel Comics,bad,Male,,"[""6'2"", '188 cm']","['175 lb', '79 kg']",White / Red,Black,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1171.jpg
473,Morph,,40.0,,,,,Kevin Sydney,No alter egos found.,['-'],"Pittsburgh, Pennsylvania",Exiles #1,Marvel Comics,good,Male,,"[""5'10"", '178 cm']","['175 lb', '79 kg']",White,No Hair,"Adventurer, reality traveler",Mobile,"Exiles; (Formerly) X-Men, New Mutants, Avengers all of his home reality","Unnamed mother (deceased), Unnamed father",https://www.superherodb.com/pictures2/portraits/10/100/102.jpg
474,Moses Magnum,75.0,28.0,12.0,42.0,55.0,56.0,Moses Magnum,No alter egos found.,"['Magnum Force,']",-,Giant-Size Spider-Man #4 (1975),Marvel Comics,bad,Male,,"[""5'9"", '175 cm']","['159 lb', '72 kg']",Brown,Black,"Terrorist, president of Magnum Munitions; former ruler of Canaan",-,"Magnum Force (leader), agent of Apocalypse; former agent of They Who Wield Power",-,https://www.superherodb.com/pictures2/portraits/10/100/1020.jpg
475,Mr Immortal,50.0,10.0,8.0,100.0,69.0,30.0,Craig Hollis,No alter egos found.,['-'],-,West Coast Avengers Vol 2 #46,Marvel Comics,good,Male,Mutant,"[""6'2"", '188 cm']","['156 lb', '70 kg']",Blue,Blond,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10794.jpg
476,Mr Incredible,50.0,83.0,33.0,95.0,29.0,40.0,Robert Parr,No alter egos found.,"['Mr. I', ""The Hero's Hero"", 'Bob Parr']",-,"The Incredibles (Movies, 2004)",Dark Horse Comics,good,Male,Human,"[""6'7"", '201 cm']","['350 lb', '158 kg']",Blue,Blond,-,-,Incredible Family,"Helen Parr (Elastigirl, wife), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)",https://www.superherodb.com/pictures2/portraits/10/100/869.jpg
477,Ms Marvel II,38.0,63.0,23.0,84.0,11.0,56.0,Sharon Ventura,She-Thing,['She-Thing'],"Pullman, Washington",-,She-Thing,good,Female,,"[""5'8"", '173 cm']","['135 lb', '61 kg']",Blue,Red,"Wanderer, former adventurer, wrestler, stunt woman, scuba diver, motorcycle performer",-,"Former member of the Fantastic Four, Frightful Four, Unlimited Class Wrestling Federation, Thunderiders",-,https://www.superherodb.com/pictures2/portraits/10/100/897.jpg
478,Multiple Man,63.0,11.0,23.0,70.0,28.0,62.0,James Arthur,No alter egos found.,['-'],"Los Alamos, New Mexico",GIANT-SIZE FANTASTIC FOUR #4,Marvel Comics,good,Male,,"[""5'11'"", '180 cm']","['155 lb', '70 kg']",Blue,Brown,"Private investigator (formerly) Farmer, Adventurer",New York City,"X-Factor Investigations (formerly) X-Factor, Fallen Angels, X-Corps, X-Corporation","Dr. Daniel Madrox (father, deceased), Joan Madrox (mother, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/104.jpg
479,Mysterio,81.0,10.0,17.0,40.0,82.0,70.0,Quentin Beck,No alter egos found.,"['Nicholas Macabes', 'Rudolph Hines', 'Gerdes', 'Doctor Ludwig Rinehart']","New York, New York",Amazing Spider-Man #13 (1964),Marvel Comics,bad,Male,Human,"[""5'11"", '180 cm']","['175 lb', '79 kg']",Brown,No Hair,Criminal; former Hollywood special effects designer and stunt man,"New York City, New York State (Earth-1610) formerly New York City, New York (Earth-616)",None; Former Sinister Six,"Henrietta Beck (mother), Elmore Beck (father), Vincent (uncle), Maguire Beck (Jack O'Lantern) (cousin)",https://www.superherodb.com/pictures2/portraits/10/100/1039.jpg
480,Mystique,75.0,12.0,23.0,64.0,64.0,74.0,Raven Darkholme,No alter egos found.,['Mallory Brickman'],-,"(as Raven Darkholme) MS. MARVEL #16, (as Mystique) MS. MARVEL #18",Marvel Comics,bad,Female,Mutant,"[""5'10"", '178 cm']","['120 lb', '54 kg']",Yellow (without irises),Red / Orange,"Special operative for Germany and the United States governments, (former) German Freedom Fighter, special operative in the Weapon X Project Team","Arlington, Virginia","Founder and leader of the third Brotherhood of Evil Mutants, now known as Freedom Force; X-Factor, X-Men","Rogue (unofficial foster daughter), Ralph Brickman (husband), Gloria Brickman (daughter), Graydon Creed (son, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/817.jpg
481,Namor,69.0,95.0,58.0,70.0,73.0,85.0,Namor McKenzie,No alter egos found.,"['Imperius Rex', 'Dr. G.W. Falton', 'Sub-Mariner', '""Subby""', 'Namor the First', 'Avenging Son', 'Old Man', 'Rex', 'Joe Pierre', 'Lord of the Seven Seas', 'the Scion of the Deep', 'Phoenix']",Atlantis,"Motion Picture Funnies Weekly #1 (April, 1939)",Marvel Comics,good,Male,Atlantean,"[""6'2"", '188 cm']","['278 lb', '125 kg']",Grey,Black,"King of Atlantis, Adventurer; former warrior, commando, CEO","Ultimate Universe; formerly New Atlantis, Utopia, San Francisco Bay, California; Atlantis; Necropolis, Wakanda; occasionally mobile","Cabal (founder), Invaders, Atlantis; formerly Illuminati, X-Men, Extinction Team, Phoenix Five, Defenders, Osborn's X-Men, Osborn's Cabal, Avengers, All-Winners Squad, Titans Three, Fantastic Four, Oracle Inc., Order, Deep Six (founder and leader); ally o","Elanna (maternal ancestor), Tanas (maternal ancestor), Zartra (maternal ancestor), Orrek (maternal distant relative), Stegor (maternal ancestor), Kamuu (maternal ancestor), Harran (maternal ancestor), Kalen (maternal ancestor), Ossem (maternal ancestor), Balaal (maternal ancestor), Thallo (maternal ancestor), Immanu (maternal great-grandfather-in-law, deceased), Thakorr (maternal grandfather, deceased), Korra (maternal grandmother), Wa-Korr (grandfather-in-law, presumed deceased), Wathan (father-in-law, presumed deceased), Tom Smallwood (father-in-law), Gladys Smallwood (mother-in-law), Zarina (maternal aunt), Namora's father (uncle), Daka (maternal uncle), Brynn (aunt-by-marriage/step-grandmother), Fen (mother, deceased), Leonard McKenzie (father, deceased), Experiment N2 (clone), Lawrence McKenzie (paternal half-brother), Dorma (wife / distant cousin, deceased), Marrina (wife), three unnamed children (by Marrina), Kamar (son, deceased), Black Moray (Leon McKenzie) (paternal half-nephew), Llyron McKenzie (paternal great-nephew), Dan Smallwood (brother-in-law), Namora (maternal cousin), Beemer (maternal cousin), Bobo (maternal cousin), Byrrahna (maternal cousin), Namita (maternal cousin), Daro (maternal cousin), Dara (maternal cousin), Seth (maternal cousin), Argus (maternal cousin), Arkus (maternal cousin), Byrrah (maternal cousin), Namorita (maternal 1st cousin once removed).",https://www.superherodb.com/pictures2/portraits/10/100/137.jpg
482,Namor,,,,,,,,No alter egos found.,['-'],-,-,Marvel Comics,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/105.jpg
483,Namora,50.0,85.0,42.0,42.0,48.0,64.0,Aquaria Nautica Neptunia,No alter egos found.,"['Sub-Mariner', 'Avenging Daughter', 'the Sea Beauty']",Unnamed Atlantean outpost,Marvel Mystery Comics #82 (1947),Marvel Comics,good,Female,,"[""5'11"", '180 cm']","['189 lb', '85 kg']",Blue,Blond,-,-,"Agents of Atlas, Long-time ally of Namor; Monster Hunters, Invaders, All Winners Squad; At one time or another was partnered with FBI Agent Jimmy Woo, Sun Girl, Venus, Golden Girl, Hulk","Namor (cousin), Talan (husband, deceased), Namorita (""daughter"" cloned)",https://www.superherodb.com/pictures2/portraits/10/100/1364.jpg
484,Namorita,50.0,72.0,47.0,70.0,37.0,70.0,Namorita Prentiss,No alter egos found.,"['Kymaera', 'Hard']",Atlantis Outskirts,SUB-MARINER Vol. 2 #50 (1972),Marvel Comics,good,Female,,"[""5'6"", '168 cm']","['225 lb', '101 kg']",Blue,Blond,"Superhero, formerly Leader of Atlantis","Mobile, formerly New Warriors headquarters and Atlantis","Formerly Council of Three, New Warriors, Fantastic Four, Soldiers of Misfortune, Water Children","Namora (mother); Talan (father, deceased); Namor, Byrrah, Dara, Arkus (first cousins once removed); Fen (great-aunt, deceased); Thakorr (great-grandfather, deceased); Korra (great-grandmother, presumed deceased); large extended family; Betty Prentiss (legal guardian, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/106.jpg
485,Naruto Uzumaki,50.0,80.0,32.0,80.0,100.0,100.0,,No alter egos found.,['-'],-,-,Shueisha,good,Male,Human,"[""5'6"", '168 cm']","['121 lb', '54 kg']",-,-,-,Konohagakure,Team 7,-,https://www.superherodb.com/pictures2/portraits/10/100/1540.jpg
486,Nathan Petrelli,,,,,,,Nathan Petrelli,No alter egos found.,['-'],-,Heroes S01E01,NBC - Heroes,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",Brown,-,"formerly a U.S. Congressman, formerly a district attorney, formerly a Navy officer","Mansion in Hyde Park, NY",-,"Angela Petrelli (mother), unnamed father (deceased), Peter Petrelli (younger brother), Simon Petrelli (son), Monty Petrelli (son), Claire Bennet (daughter)",https://www.superherodb.com/pictures2/portraits/10/100/949.jpg
487,Nebula,63.0,52.0,13.0,50.0,42.0,60.0,,No alter egos found.,['-'],-,"Avengers #257 (July, 1985)",Marvel Comics,bad,Female,Luphomoid,"[""6'1"", '185 cm']","['185 lb', '83 kg']",Blue,No Hair,-,-,"Graces, United Front, former leader of a mercenary band",-,https://www.superherodb.com/pictures2/portraits/10/100/10632.jpg
488,Negasonic Teenage Warhead,50.0,7.0,8.0,10.0,45.0,35.0,Ellie Phimister,No alter egos found.,['Warhead'],-,New X-Men #115,Marvel Comics,good,Female,Mutant,"['-', '0 cm']","['- lb', '0 kg']",Black,Black,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10556.jpg
489,Nick Fury,75.0,11.0,23.0,42.0,25.0,100.0,Nicholas Joseph Fury,No alter egos found.,"['Doyle', 'The Mystery in the Mask', 'Patch', 'Scorpio']",New York City,Sgt. Fury and His Howling Commandos #1 (1963),Marvel Comics,good,Male,Human,"[""6'1"", '185 cm']","['221 lb', '99 kg']",Brown,Brown / White,"S.H.I.E.L.D. director; former S.H.I.E.L.D. agent, intelligence agent, soldier and commando leader, parachuting instructor, stunt flyer",-,"Secret Avengers, SHIELD (both incarnations); formerly Team Valkyrie, C.I.A., liaison to MI-5, O.S.S., Howling Commandos, U.S. Army","Jack Fury (father, deceased);
unnamed mother;
unnamed stepmother (deceased);
Dawn Fury (half-sister);
Jake Fury (half-brother);
Mikel Fury (son, deceased);
Jerry Sapristi (cousin);
Tina Sapristi (cousin by marriage);
Ernesto, Pietro, Giovanni, Maria, Rosa and Gabriella (1st cousins once removed);",https://www.superherodb.com/pictures2/portraits/10/100/326.jpg
490,Nightcrawler,50.0,10.0,47.0,14.0,76.0,80.0,Kurt Wagner,No alter egos found.,['-'],Somewhere in the Bavarian Alps,GIANT-SIZE X-MEN #1,Marvel Comics,good,Male,,"[""5'9'"", '175 cm']","['195 lb', '88 kg']",Yellow,Indigo,"Adventurer, Teacher","Xavier Institute for Higher Learning, Salem Center, Westchester County, New York (former) Muir Island, Scotland; Braddock Lighthouse","X-Men, formerly Excalibur","Eric Wagner (father, deceased), Margali Szardos (foster mother), Jimaine Szardos (Daytripper, alias Amanda Sefton, foster sister), Stefan Szardos (foster brother, deceased), Mystique (mother), Graydon Creed (half-brother, deceased).",https://www.superherodb.com/pictures2/portraits/10/100/107.jpg
491,Nightwing,88.0,11.0,33.0,28.0,36.0,100.0,Dick Grayson,"Batman II, Robin","['Freddie Dinardo', 'Freddy Loyd', 'The Target', 'Renegade', 'The Worlds Greatest Acrobat', 'The Aerial Avenger', 'Pixie Boots', 'The Boy / Teen Wonder', 'The Worlds Greatest Detective', 'The Caped Crusader']",Gotham City,"as Dick Grayson and Robin) Detective Comics #38, (as Nightwing) Tales of the Teen Titans #44, (as Batman) Batman #512",Batman II,good,Male,Human,"[""5'10"", '178 cm']","['175 lb', '79 kg']",Blue,Black,"Vigilante and detective, former police officer, former Circus Acrobat","Wayne Tower, Gotham City; formerly the Batcave; formerly Bludhaven; formerly New York City","Batman Family and the JLA; formerly the Teen Titans, the New Titans, the Titans and the Outsiders","John Grayson (father, deceased), Mary Grayson (mother, deceased), Bruce Wayne / Batman (adoptive father), Damian Wayne / Robin (foster brother), Jason Todd / Red Hood (adoptive brother), Tim Drake / Red Robin (adoptive brother), Cassandra Cain / Batgirl IV (adoptive sister)",https://www.superherodb.com/pictures2/portraits/10/100/851.jpg
492,Niki Sanders,63.0,52.0,35.0,28.0,37.0,56.0,Nicole Sanders,No alter egos found.,"['Jessica', 'Gina']",-,Heroes S01E01 - Genesis,NBC - Heroes,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",Blue,Blond,Former casino worker and online webcam operator; currently an agent of the Company,"Las Vegas, NV",-,"DL Hawkins (husband), Hal Sanders (father), Micah Sanders (son), Jessica Sanders (sister,deceased), Monica Dawson (cousin-in-law), Damon Dawson (cousin-in-law), Paulette Hawkins (mother-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/952.jpg
493,Nina Theroux,63.0,5.0,8.0,10.0,68.0,20.0,,No alter egos found.,['-'],-,-,SyFy,good,Female,Alpha,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,Alphas,-,https://www.superherodb.com/pictures2/portraits/10/100/1529.jpg
